"","Timestamp","BTCOpen","BTCClose","BTCVolume","BTCCount","BTCReturn","BTCRVol","BTCAmihud","BTCVolLag1","BTCVolLag2","BTCVolLag3","BTCRtnLag1","BTCRtnLag2","BTCRtnLag3","BTCRVolLag1","BTCRVolLag2","BTCRVolLag3","BTCAmhLag1","BTCAmhLag2","BTCAmhLag3","EUROpen","EURClose","EURVolume","EURCount","EURReturn","EURRtnLag1","EURRtnLag2","EURRtnLag3","SPCOpen","SPCClose","SPCVolume","SPCCount","SPCReturn","SPCRtnLag1","SPCRtnLag2","SPCRtnLag3","NASCOpen","NASCClose","NASCVolume","NASCCount","NASCReturn","NASCRtnLag1","NASCRtnLag2","NASCRtnLag3","SPCVOpen","SPCVClose","SPCVVolume","SPCVCount","SPCVReturn","SPCVRtnLag1","SPCVRtnLag2","SPCVRtnLag3","NASCVOpen","NASCVClose","NASCVVolume","NASCVCount","NASCVReturn","NASCVRtnLag1","NASCVRtnLag2","NASCVRtnLag3"
"238","22.01.2021 15:00",31685,31740,395.5,332,0.00173433232278342,3.00790860585132e-06,4.38516390084302e-06,299.5,284,435,-0.000159426066499435,-0.000318420636347128,0.00111102304897237,2.54166706794823e-08,1.0139170165171e-07,1.23437221534786e-06,5.32307400665894e-07,1.12119942375749e-06,2.55407597464913e-06,1.2192,1.219,1412,683,-0.000164055451110284,0,8.20512820974839e-05,-0.000164028541333877,3820.25,3819,24575,7158,-0.000327257259851166,0.000130941469350887,-0.000130864359277894,0.000261181849346315,13325,13324,6049,4157,-7.50497204755618e-05,0.000112625295759727,-5.62730367903441e-05,0.000243552875595299,3820.25,3819,24575,7158,-0.000327257259851166,0.000130941469350887,-0.000130864359277894,0.000261181849346315,13325,13324,6049,4157,-7.50497204755618e-05,0.000112625295759727,-5.62730367903441e-05,0.000243552875595299
"250","22.01.2021 16:00",31515,31570,319.5,240.5,0.00174367960482691,3.04041856428932e-06,5.45752614969299e-06,395.5,299.5,284,0.00173433232278342,-0.000159426066499435,-0.000318420636347128,3.00790860585132e-06,2.54166706794823e-08,1.0139170165171e-07,4.38516390084302e-06,5.32307400665894e-07,1.12119942375749e-06,1.2177,1.2177,2399,869,0,-0.000164055451110284,0,8.20512820974839e-05,3819.5,3819.75,25147,7492,6.54514514089044e-05,-0.000327257259851166,0.000130941469350887,-0.000130864359277894,13318.5,13320,8626,5912,0.000112618953888699,-7.50497204755618e-05,0.000112625295759727,-5.62730367903441e-05,3819.5,3819.75,25147,7492,6.54514514089044e-05,-0.000327257259851166,0.000130941469350887,-0.000130864359277894,13318.5,13320,8626,5912,0.000112618953888699,-7.50497204755618e-05,0.000112625295759727,-5.62730367903441e-05
"262","22.01.2021 17:00",32250,32145,819.5,599,-0.00326112564813208,1.06349404929049e-05,3.97940896660412e-06,319.5,395.5,299.5,0.00174367960482691,0.00173433232278342,-0.000159426066499435,3.04041856428932e-06,3.00790860585132e-06,2.54166706794823e-08,5.45752614969299e-06,4.38516390084302e-06,5.32307400665894e-07,1.2182,1.2179,1566,738,-0.000246295309319383,0,-0.000164055451110284,0,3822,3820.75,30354,7974,-0.000327107392271486,6.54514514089044e-05,-0.000327257259851166,0.000130941469350887,13325.5,13322.25,8665,5875,-0.000243923034110693,0.000112618953888699,-7.50497204755618e-05,0.000112625295759727,3822,3820.75,30354,7974,-0.000327107392271486,6.54514514089044e-05,-0.000327257259851166,0.000130941469350887,13325.5,13322.25,8665,5875,-0.000243923034110693,0.000112618953888699,-7.50497204755618e-05,0.000112625295759727
"274","22.01.2021 18:00",32525,32565,1178,763,0.00122906759979458,1.5106071648648e-06,1.04335110339098e-06,819.5,319.5,395.5,-0.00326112564813208,0.00174367960482691,0.00173433232278342,1.06349404929049e-05,3.04041856428932e-06,3.00790860585132e-06,3.97940896660412e-06,5.45752614969299e-06,4.38516390084302e-06,1.2185,1.2187,1990,890,0.000164122764195723,-0.000246295309319383,0,-0.000164055451110284,3834.5,3833.25,163040,34353,-0.000326040888415591,-0.000327107392271486,6.54514514089044e-05,-0.000327257259851166,13387.75,13383.25,67535,44942,-0.000336184680614693,-0.000243923034110693,0.000112618953888699,-7.50497204755618e-05,3834.5,3833.25,163040,34353,-0.000326040888415591,-0.000327107392271486,6.54514514089044e-05,-0.000327257259851166,13387.75,13383.25,67535,44942,-0.000336184680614693,-0.000243923034110693,0.000112618953888699,-7.50497204755618e-05
"286","22.01.2021 19:00",32520,32520,975,648,0,0,0,1178,819.5,319.5,0.00122906759979458,-0.00326112564813208,0.00174367960482691,1.5106071648648e-06,1.06349404929049e-05,3.04041856428932e-06,1.04335110339098e-06,3.97940896660412e-06,5.45752614969299e-06,1.2185,1.2186,2408,1207,8.20647491330817e-05,0.000164122764195723,-0.000246295309319383,0,3830.5,3831.5,167975,38974,0.000261028453584444,-0.000326040888415591,-0.000327107392271486,6.54514514089044e-05,13349.75,13351,78801,51160,9.36303288039397e-05,-0.000336184680614693,-0.000243923034110693,0.000112618953888699,3830.5,3831.5,167975,38974,0.000261028453584444,-0.000326040888415591,-0.000327107392271486,6.54514514089044e-05,13349.75,13351,78801,51160,9.36303288039397e-05,-0.000336184680614693,-0.000243923034110693,0.000112618953888699
"298","22.01.2021 20:00",32425,32420,616.5,489.5,-0.000154213894976607,2.3781925403856e-08,2.50144192987197e-07,975,1178,819.5,0,0.00122906759979458,-0.00326112564813208,0,1.5106071648648e-06,1.06349404929049e-05,0,1.04335110339098e-06,3.97940896660412e-06,1.2192,1.2191,889,477.5,-8.20243612812688e-05,8.20647491330817e-05,0.000164122764195723,-0.000246295309319383,3840.25,3840.25,115354,22949,0,0.000261028453584444,-0.000326040888415591,-0.000327107392271486,13367.25,13368.5,46610,29705,9.35077565369369e-05,9.36303288039397e-05,-0.000336184680614693,-0.000243923034110693,3840.25,3840.25,115354,22949,0,0.000261028453584444,-0.000326040888415591,-0.000327107392271486,13367.25,13368.5,46610,29705,9.35077565369369e-05,9.36303288039397e-05,-0.000336184680614693,-0.000243923034110693
"310","22.01.2021 21:00",32405,32390,473,324,-0.00046299869644173,2.14367792906741e-07,9.78855595014228e-07,616.5,975,1178,-0.000154213894976607,0,0.00122906759979458,2.3781925403856e-08,0,1.5106071648648e-06,2.50144192987197e-07,0,1.04335110339098e-06,1.2179,1.2181,829.5,354.5,0.000164203612848385,-8.20243612812688e-05,8.20647491330817e-05,0.000164122764195723,3839,3839,76089,15591,0,0,0.000261028453584444,-0.000326040888415591,13358,13357.5,28611,18425,-3.74314536557563e-05,9.35077565369369e-05,9.36303288039397e-05,-0.000336184680614693,3839,3839,76089,15591,0,0,0.000261028453584444,-0.000326040888415591,13358,13357.5,28611,18425,-3.74314536557563e-05,9.35077565369369e-05,9.36303288039397e-05,-0.000336184680614693
"322","22.01.2021 22:00",33325,33325,636.5,487,0,0,0,473,616.5,975,-0.00046299869644173,-0.000154213894976607,0,2.14367792906741e-07,2.3781925403856e-08,0,9.78855595014228e-07,2.50144192987197e-07,0,1.2183,1.2183,439,199.5,0,0.000164203612848385,-8.20243612812688e-05,8.20647491330817e-05,3836.75,3836.5,59938,12319,-6.51614374849174e-05,0,0,0.000261028453584444,13361.5,13357.5,28730,17996,-0.000299412405396993,-3.74314536557563e-05,9.35077565369369e-05,9.36303288039397e-05,3836.75,3836.5,59938,12319,-6.51614374849174e-05,0,0,0.000261028453584444,13361.5,13357.5,28730,17996,-0.000299412405396993,-3.74314536557563e-05,9.35077565369369e-05,9.36303288039397e-05
"334","22.01.2021 23:00",33650,33620,545,434,-0.00089192811026706,7.95535753884568e-07,1.63656533993956e-06,636.5,473,616.5,0,-0.00046299869644173,-0.000154213894976607,0,2.14367792906741e-07,2.3781925403856e-08,0,9.78855595014228e-07,2.50144192987197e-07,1.2181,1.218,390.5,217.5,-8.20984360708765e-05,0,0.000164203612848385,-8.20243612812688e-05,3841.25,3841.5,78594,14565,6.50808629956146e-05,-6.51614374849174e-05,0,0,13386.5,13388.25,26092,16583,0.000130720174977839,-0.000299412405396993,-3.74314536557563e-05,9.35077565369369e-05,3841.25,3841.5,78594,14565,6.50808629956146e-05,-6.51614374849174e-05,0,0,13386.5,13388.25,26092,16583,0.000130720174977839,-0.000299412405396993,-3.74314536557563e-05,9.35077565369369e-05
"346","23.01.2021 00:00",33585,33570,445,361,-0.000446727726885143,1.99565661967967e-07,1.00388253232616e-06,545,636.5,473,-0.00089192811026706,0,-0.00046299869644173,7.95535753884568e-07,0,2.14367792906741e-07,1.63656533993956e-06,0,9.78855595014228e-07,1.2182,1.2182,420.5,198.5,0,-8.20984360708765e-05,0,0.000164203612848385,3838.75,3832.5,173918,26658,-0.00162946100906325,6.50808629956146e-05,-6.51614374849174e-05,0,13374,13355.5,41951,25560,-0.00138423860932768,0.000130720174977839,-0.000299412405396993,-3.74314536557563e-05,3838.75,3832.5,173918,26658,-0.00162946100906325,6.50808629956146e-05,-6.51614374849174e-05,0,13374,13355.5,41951,25560,-0.00138423860932768,0.000130720174977839,-0.000299412405396993,-3.74314536557563e-05
